Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
POL,2014-01-01,2014-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2014,2014,million No,7.3,X,
POL,2015-01-01,2015-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2015,2015,million No,7.5,X,
POL,2016-01-01,2016-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2016,2016,million No,7.6,X,
POL,2017-01-01,2017-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2017,2017,million No,7.8,X,
POL,2018-01-01,2018-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2018,2018,million No,8,X,
POL,2019-01-01,2019-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2019,2019,million No,8.1,X,
POL,2020-01-01,2020-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2020,2020,million No,8.3,X,
POL,2021-01-01,2021-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2021,2021,million No,8.4,X,
POL,2022-01-01,2022-12-31,173,'616,Poland,210420,Number of obese adults (18 years and older) (million),6132,Value,2022,2022,million No,9,X,
POL,2000-01-01,2000-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2000,2000,%,,X,
POL,2001-01-01,2001-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2001,2001,%,,X,
POL,2002-01-01,2002-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2002,2002,%,,X,
POL,2003-01-01,2003-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2003,2003,%,,X,
POL,2004-01-01,2004-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2004,2004,%,,X,
POL,2005-01-01,2005-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2005,2005,%,,X,
POL,2006-01-01,2006-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2006,2006,%,,X,
POL,2007-01-01,2007-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2007,2007,%,,X,
POL,2008-01-01,2008-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2008,2008,%,,X,
POL,2009-01-01,2009-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2009,2009,%,,X,
POL,2010-01-01,2010-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2010,2010,%,,X,
POL,2011-01-01,2011-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2011,2011,%,,X,
POL,2012-01-01,2012-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2012,2012,%,,X,
POL,2013-01-01,2013-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2013,2013,%,,X,
POL,2014-01-01,2014-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2014,2014,%,,X,
POL,2015-01-01,2015-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2015,2015,%,,X,
POL,2016-01-01,2016-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2016,2016,%,,X,
POL,2017-01-01,2017-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2017,2017,%,,X,
POL,2018-01-01,2018-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2018,2018,%,,X,
POL,2019-01-01,2019-12-31,173,'616,Poland,21043,Prevalence of anemia among women of reproductive age (15-49 years) (percent),6121,Value,2019,2019,%,,X,
POL,2000-01-01,2000-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2000,2000,million No,,X,
POL,2001-01-01,2001-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2001,2001,million No,,X,
POL,2002-01-01,2002-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2002,2002,million No,,X,
POL,2003-01-01,2003-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2003,2003,million No,,X,
POL,2004-01-01,2004-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2004,2004,million No,,X,
POL,2005-01-01,2005-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2005,2005,million No,,X,
POL,2006-01-01,2006-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2006,2006,million No,,X,
POL,2007-01-01,2007-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2007,2007,million No,,X,
POL,2008-01-01,2008-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2008,2008,million No,,X,
POL,2009-01-01,2009-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2009,2009,million No,,X,
POL,2010-01-01,2010-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2010,2010,million No,,X,
POL,2011-01-01,2011-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2011,2011,million No,,X,
POL,2012-01-01,2012-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2012,2012,million No,,X,
POL,2013-01-01,2013-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2013,2013,million No,,X,
POL,2014-01-01,2014-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2014,2014,million No,,X,
POL,2015-01-01,2015-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2015,2015,million No,,X,
POL,2016-01-01,2016-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2016,2016,million No,,X,
POL,2017-01-01,2017-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2017,2017,million No,,X,
POL,2018-01-01,2018-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2018,2018,million No,,X,
POL,2019-01-01,2019-12-31,173,'616,Poland,210430,Number of women of reproductive age (15-49 years) affected by anemia (million),6132,Value,2019,2019,million No,,X,
POL,2000-01-01,2000-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2000,2000,%,,X,
POL,2001-01-01,2001-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2001,2001,%,,X,
POL,2002-01-01,2002-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2002,2002,%,,X,
POL,2003-01-01,2003-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2003,2003,%,,X,
POL,2004-01-01,2004-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2004,2004,%,,X,
POL,2005-01-01,2005-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2005,2005,%,,X,
POL,2006-01-01,2006-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2006,2006,%,,X,
POL,2007-01-01,2007-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2007,2007,%,,X,
POL,2008-01-01,2008-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2008,2008,%,,X,
POL,2009-01-01,2009-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2009,2009,%,,X,
POL,2010-01-01,2010-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2010,2010,%,,X,
POL,2011-01-01,2011-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2011,2011,%,,X,
POL,2012-01-01,2012-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2012,2012,%,,X,
POL,2013-01-01,2013-12-31,173,'616,Poland,21044,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),6121,Value,2013,2013,%,,X,
